This file contains the cluster number at each minimum cluster size (MCS) computed using the dynamic tree cut algorithm. The rows are sorted according to the ReefID. A value of 0 indicates that the reef was not included in any cluster for a particular MCS value.
Reef ID,MCS=1,MCS=5,MCS=10,MCS=15,MCS=20,MCS=25,MCS=50,MCS=75,MCS=100,MCS=125,MCS=150,MCS=160
160,399,153,75,57,67,5,0,0,0,0,0,0
161,845,153,75,57,67,5,0,0,0,0,0,0
162,822,249,156,57,67,5,0,0,0,0,0,0
163,918,135,9,33,46,0,0,0,0,0,0,0
164,918,135,9,33,46,0,0,0,0,0,0,0
165,331,58,63,94,28,5,0,0,0,0,0,0
166,331,58,63,94,28,5,0,0,0,0,0,0
167,507,255,63,94,28,5,0,0,0,0,0,0
168,851,255,63,94,28,5,0,0,0,0,0,0
169,85,177,78,105,28,5,0,0,0,0,0,0
170,85,177,78,105,28,5,0,0,0,0,0,0
171,508,318,41,52,65,5,0,0,0,0,0,0
172,268,382,75,52,65,5,0,0,0,0,0,0
173,845,153,75,57,67,5,0,0,0,0,0,0
174,670,0,0,0,0,0,0,0,0,0,0,0
175,777,58,63,94,28,5,0,0,0,0,0,0
176,777,58,63,94,28,5,0,0,0,0,0,0
177,331,58,63,94,28,5,0,0,0,0,0,0
178,507,255,63,94,28,5,0,0,0,0,0,0
179,85,177,78,105,28,5,0,0,0,0,0,0
180,508,318,41,52,65,5,0,0,0,0,0,0
181,268,382,75,52,65,5,0,0,0,0,0,0
182,698,249,156,57,67,5,0,0,0,0,0,0
183,698,249,156,57,67,5,0,0,0,0,0,0
184,699,249,156,57,67,5,0,0,0,0,0,0
185,699,249,156,57,67,5,0,0,0,0,0,0
186,423,135,9,33,46,0,0,0,0,0,0,0
187,423,135,9,33,46,0,0,0,0,0,0,0
188,670,0,0,0,0,0,0,0,0,0,0,0
189,670,0,0,0,0,0,0,0,0,0,0,0
190,331,58,63,94,28,5,0,0,0,0,0,0
191,385,58,63,94,28,5,0,0,0,0,0,0
192,385,58,63,94,28,5,0,0,0,0,0,0
193,85,177,78,105,28,5,0,0,0,0,0,0
194,508,318,41,52,65,5,0,0,0,0,0,0
195,268,382,75,52,65,5,0,0,0,0,0,0
196,423,135,9,33,46,0,0,0,0,0,0,0
197,423,135,9,33,46,0,0,0,0,0,0,0
198,385,58,63,94,28,5,0,0,0,0,0,0
199,365,114,78,105,28,5,0,0,0,0,0,0
200,570,318,41,52,65,5,0,0,0,0,0,0
201,739,358,156,57,67,5,0,0,0,0,0,0
202,739,358,156,57,67,5,0,0,0,0,0,0
203,688,58,63,94,28,5,0,0,0,0,0,0
204,365,114,78,105,28,5,0,0,0,0,0,0
205,570,318,41,52,65,5,0,0,0,0,0,0
206,536,358,156,57,67,5,0,0,0,0,0,0
207,536,358,156,57,67,5,0,0,0,0,0,0
208,688,58,63,94,28,5,0,0,0,0,0,0
209,688,58,63,94,28,5,0,0,0,0,0,0
210,365,114,78,105,28,5,0,0,0,0,0,0
211,570,318,41,52,65,5,0,0,0,0,0,0
212,536,358,156,57,67,5,0,0,0,0,0,0
213,365,114,78,105,28,5,0,0,0,0,0,0
214,347,114,78,105,28,5,0,0,0,0,0,0
215,347,114,78,105,28,5,0,0,0,0,0,0
216,347,114,78,105,28,5,0,0,0,0,0,0
217,525,114,78,105,28,5,0,0,0,0,0,0
218,525,114,78,105,28,5,0,0,0,0,0,0
219,347,114,78,105,28,5,0,0,0,0,0,0
220,525,114,78,105,28,5,0,0,0,0,0,0
221,385,58,63,94,28,5,0,0,0,0,0,0
222,745,285,4,15,32,42,2,10,0,0,0,0
223,745,285,4,15,32,42,2,10,0,0,0,0
224,576,285,4,15,32,42,2,10,0,0,0,0
225,576,285,4,15,32,42,2,10,0,0,0,0
226,576,285,4,15,32,42,2,10,0,0,0,0
227,401,136,4,15,32,42,2,10,0,0,0,0
228,836,285,4,15,32,42,2,10,0,0,0,0
229,401,136,4,15,32,42,2,10,0,0,0,0
230,836,285,4,15,32,42,2,10,0,0,0,0
231,401,136,4,15,32,42,2,10,0,0,0,0
232,922,44,0,0,0,0,14,17,13,0,0,1
233,165,344,4,15,32,42,2,10,0,0,0,0
234,401,136,4,15,32,42,2,10,0,0,0,0
235,922,44,8,32,45,51,14,17,13,0,0,1
236,0,0,0,0,0,0,0,0,0,0,0,0
237,165,344,4,15,32,42,2,10,0,0,0,0
238,165,344,4,15,32,42,2,10,0,0,0,0
239,165,344,4,15,32,42,2,10,0,0,0,0
240,421,136,4,15,32,42,2,10,0,0,0,0
241,678,136,4,15,32,42,2,10,0,0,0,0
242,166,254,4,15,32,42,2,10,0,0,0,0
243,165,344,4,15,32,42,2,10,0,0,0,0
244,165,344,4,15,32,42,2,10,0,0,0,0
245,421,136,4,15,32,42,2,10,0,0,0,0
246,421,136,4,15,32,42,2,10,0,0,0,0
247,678,136,4,15,32,42,2,10,0,0,0,0
248,166,254,4,15,32,42,2,10,0,0,0,0
249,166,254,4,15,32,42,2,10,0,0,0,0
