"ReefID","ReefArea(km-sq)","Latitude","Longitude"
75,5.5916,9.8708,102.88,
76,3.4074,9.9496,102.88,
77,1.5826,10.3434,102.88,
78,0.048142,11.2078,102.88,
79,0.71579,11.2863,102.88,
80,2.7249,5.6707,102.96,
81,4.0216,5.7503,102.96,
82,1.9546,5.8299,102.96,
83,0.017076,9.8708,102.96,
84,0.017067,10.0284,102.96,
85,0.69649,10.8938,102.96,
86,0.38094,10.9723,102.96,
87,0.22211,11.2078,102.96,
88,0.69457,5.5911,103.04,
89,2.029,9.9496,103.04,
90,3.2233,10.2646,103.04,
91,2.0316,10.3434,103.04,
92,0.44825,10.9723,103.04,
93,0.13665,5.5911,103.12,
94,0.036955,5.6707,103.12,
95,3.0271,10.2646,103.12,
96,1.8237,10.7366,103.12,
97,0.96217,10.8152,103.12,
98,1.3474,1.1199,103.2,
99,0.062676,5.3522,103.2,
100,0.32463,10.1859,103.2,
101,0.32405,10.3434,103.2,
102,1.2461,10.5794,103.2,
103,1.8087,10.658,103.2,
104,0.17062,0.96,103.28,
105,0.38606,1.1999,103.28,
106,0.062667,5.2725,103.28,
107,0.32446,10.2646,103.28,
108,0.37023,10.5007,103.28,
109,0.048589,9.2397,103.36,
110,0.50796,9.3186,103.36,
111,0.82542,10.5794,103.36,
112,0.10696,1.0399,103.4399,
113,0.024813,1.2799,103.4399,
114,0.048737,9.1607,103.4399,
115,2.5808,9.3186,103.4399,
116,0.12437,10.5007,103.4399,
117,0.019681,10.5794,103.4399,
118,0.024776,1.1999,103.52,
119,0.048589,9.2397,103.52,
120,0.09873,10.422,103.52,
121,0.30039,1.0399,103.6,
122,1.7274,1.1199,103.6,
123,0.44992,1.1999,103.6,
124,0.29854,4.7944,103.6,
125,0.10743,4.8741,103.6,
126,0.018107,0.48,103.6801,
127,4.0251,1.0399,103.6801,
128,2.3624,1.1199,103.6801,
129,2.8981,1.1999,103.6801,
130,8.1356,1.1199,103.76,
131,0.64382,1.1999,103.76,
132,4.2564,10.3434,103.76,
133,1.0085,1.1999,103.84,
134,1.4843,2.6391,103.84,
135,1.4188,2.719,103.84,
136,0.29855,0.56,103.92,
137,0.87246,1.1999,103.92,
138,0.039129,2.6391,103.92,
139,0.034269,2.7989,103.92,
140,0.31911,9.8708,103.92,
141,2.0388,9.9496,103.92,
142,3.2449,10.0284,103.92,
143,0.017158,0.56,104,
144,4.535,0.64,104,
145,0.14144,0.72,104,
146,0.43988,0.8,104,
147,4.5519,1.1999,104,
148,0.61977,2.719,104,
149,1.322,2.7989,104,
150,1.1862,2.8788,104,
151,0.035224,2.9587,104,
152,0.00029211,9.8708,104,
153,0.04487,0.48,104.08,
154,2.6836,0.56,104.08,
155,0.52165,0.72,104.08,
156,1.5109,0.8,104.08,
157,1.0434,1.2799,104.08,
158,0.11551,2.0795,104.08,
159,0.6685,2.1595,104.08,
160,1.4398,2.3194,104.08,
161,0.4742,2.6391,104.08,
162,0.4405,2.9587,104.08,
163,0.00029248,9.9496,104.08,
164,0.41796,10.0284,104.08,
165,0.00015035,0.32,104.16,
166,0.727,0.4,104.16,
167,2.0133,0.48,104.16,
168,9.433,0.56,104.16,
169,2.2455,0.64,104.16,
170,2.9091,0.72,104.16,
171,2.4907,1.1999,104.16,
172,0.086197,1.9196,104.16,
173,0.13157,2.6391,104.16,
174,0.37796,10.3434,104.16,
175,0.39017,0.24,104.24,
176,15.5056,0.32,104.24,
177,3.797,0.4,104.24,
178,3.1837,0.48,104.24,
179,4.402,0.64,104.24,
180,2.449,1.1999,104.24,
181,0.040342,1.7597,104.24,
182,1.4077,2.5591,104.24,
183,0.0015117,2.6391,104.24,
184,0.13156,2.719,104.24,
185,0.26464,2.7989,104.24,
186,0.05805,9.6343,104.24,
187,0.12611,9.7131,104.24,
188,1.1682,10.3434,104.24,
189,4.7991,10.422,104.24,
190,13.7273,0.4,104.3199,
191,16.4402,0.48,104.3199,
192,0.10547,0.56,104.3199,
193,0.13449,0.64,104.3199,
194,2.3542,1.1999,104.3199,
195,0.081852,1.5198,104.3199,
196,0.33734,9.6343,104.3199,
197,0.38804,9.7131,104.3199,
198,1.3647,0.56,104.4,
199,1.1408,0.72,104.4,
200,1.1734,1.2799,104.4,
201,0.24372,2.3993,104.4,
202,2.4342,2.4792,104.4,
203,4.4096,0.48,104.48,
204,1.6537,0.72,104.48,
205,5.303,1.2799,104.48,
206,1.0428,2.3993,104.48,
207,0.18617,2.5591,104.48,
208,0.99794,0.32,104.5601,
209,3.0382,0.4,104.5601,
210,1.8921,0.72,104.5601,
211,2.2301,1.2799,104.5601,
212,0.18566,2.4792,104.5601,
213,1.7314,0.72,104.64,
214,1.5465,0.72,104.72,
215,1.1934,0.8,104.72,
216,0.95829,0.88,104.72,
217,4.0521,1.0399,104.72,
218,2.2336,1.1199,104.72,
219,0.54657,0.96,104.8,
220,0.10323,1.0399,104.8,
221,0.085809,0.8,104.88,
222,2.2945,3.0386,105.52,
223,1.0972,3.1185,105.52,
224,4.3778,2.8788,105.6,
225,5.8651,2.9587,105.6,
226,1.1664,3.0386,105.6,
227,0.72831,3.1983,105.6,
228,7.8787,2.8788,105.6801,
229,0.1378,3.1983,105.6801,
230,0.78633,2.7989,105.76,
231,0.92277,3.1185,105.76,
232,0.46696,18.9261,105.76,
233,3.512,3.0386,105.84,
234,0.11245,3.3581,105.84,
235,0.028053,18.8504,105.84,
236,1.0959,19.3041,105.84,
237,4.534,2.7989,105.92,
238,0.78623,2.9587,105.92,
239,0.18468,3.0386,105.92,
240,0.11243,3.2782,105.92,
241,0.11241,3.4379,105.92,
242,0.024858,2.719,106,
243,6.9026,2.8788,106,
244,3.3767,2.9587,106,
245,1.3946,3.1983,106,
246,0.0059331,3.2782,106,
247,2.1407,3.3581,106,
248,0.7805,2.719,106.08,
249,8.7383,2.7989,106.08,
250,15.598,2.9587,106.08,
251,0.21436,3.0386,106.08,
252,0.52296,3.1983,106.08,
253,0.56736,3.2782,106.08,
254,0.44331,3.4379,106.08,
255,2.7482,2.6391,106.16,
256,4.9283,2.7989,106.16,
257,1.8566,2.8788,106.16,
258,0.038783,3.0386,106.16,
259,4.9045,3.1185,106.16,
260,8.7967,3.1983,106.16,
261,7.3469,3.2782,106.16,
262,1.7381,2.6391,106.24,
263,0.038786,2.9587,106.24,
264,1.0371,3.4379,106.24,
265,1.5395,3.4379,106.3199,
266,0.39516,18.2437,106.3199,
267,2.1353,18.1677,106.4,
268,1.5397,3.2782,106.48,
269,1.6807,8.6074,106.48,
270,5.4437,8.6865,106.48,
271,0.082999,8.7656,106.48,
272,4.3255,8.6074,106.5601,
273,3.2108,8.7656,106.5601,
274,0.030567,0.88,106.64,
275,0.22927,0.96,106.64,
276,0.33118,8.6074,106.64,
277,0.33104,8.7656,106.64,
278,0.30031,0.56,106.88,
279,1.6304,0.64,106.88,
280,0.0080137,0.48,106.96,
281,1.4494,0.64,106.96,
282,0.21876,1.2799,106.96,
283,0.19585,1.3599,106.96,
284,0.18588,20.6573,106.96,
285,0.54067,0.48,107.04,
286,0.14653,0.72,107.04,
287,0.086091,10.2646,107.04,
288,0.96246,17.1768,107.04,
289,0.27039,0.48,107.12,
290,0.41691,0.64,107.12,
291,0.15613,1.1999,107.12,
292,0.9641,17.1003,107.12,
293,0.42649,20.6573,107.12,
294,0.40022,0.96,107.28,
295,1.3681,1.0399,107.28,
296,0.15994,1.1199,107.28,
297,0.07442,1.1999,107.28,
298,0.19342,0.88,107.36,
299,3.5056,0.96,107.36,
300,1.9817,1.1199,107.36,
301,0.39057,1.1999,107.36,
302,0.22737,10.3434,107.36,
303,0.33966,20.6573,107.36,
304,1.617,0.88,107.4399,
305,0.82416,1.1199,107.4399,
306,27.8863,3.2782,107.4399,
307,1.2326,3.3581,107.4399,
308,0.22795,10.422,107.4399,
309,0.03449,0.8,107.52,
310,0.28411,1.1199,107.52,
311,0.097053,1.1999,107.52,
312,21.9394,3.2782,107.52,
313,2.4494,3.3581,107.52,
314,0.034542,0.88,107.6,
315,0.11515,0.96,107.6,
316,0.28455,1.0399,107.6,
317,0.26301,3.0386,107.6,
318,25.3782,3.1185,107.6,
319,3.9168,3.1983,107.6,
320,0.037135,4.4754,107.6,
321,1.7148,4.5552,107.6,
322,18.1025,3.0386,107.6801,
323,39.0849,3.1185,107.6801,
324,4.4421,3.1983,107.6801,
325,0.6772,4.4754,107.6801,
326,3.2465,4.5552,107.6801,
327,11.3346,2.9587,107.76,
328,0.036819,3.1185,107.76,
329,18.3067,3.3581,107.76,
330,9.7802,3.4379,107.76,
331,2.7843,4.1563,107.76,
332,2.6651,2.9587,107.84,
333,0.036925,3.0386,107.84,
334,1.3395,3.3581,107.84,
335,0.19468,3.5178,107.84,
336,1.0909,3.8371,107.84,
337,14.0875,3.9169,107.84,
338,5.5298,3.9968,107.84,
339,7.8121,4.0766,107.84,
340,2.9914,4.3159,107.84,
341,3.2436,4.3957,107.84,
342,1.9376,4.5552,107.84,
343,4.381,4.6349,107.84,
344,18.8009,4.7147,107.84,
345,0.19464,3.4379,107.92,
346,7.8433,3.7573,107.92,
347,34.2754,3.8371,107.92,
348,6.868,4.1563,107.92,
349,3.6023,4.2361,107.92,
350,0.13162,4.3159,107.92,
351,8.969,4.5552,107.92,
